product_id,category,quantity,cost,price,reorder_level,supplier,status,last_updated
P001,Electronics,150,25.50,45.99,50,TechSupply,In Stock,2024-01-15
P002,Clothing,75,12.00,29.99,25,FashionCorp,Low Stock,2024-01-14
P003,Electronics,200,35.75,69.99,75,TechSupply,In Stock,2024-01-16
P004,Home,120,8.25,19.99,30,HomePlus,In Stock,2024-01-13
P005,Clothing,20,15.50,39.99,25,FashionCorp,Low Stock,2024-01-15
P006,Electronics,300,45.00,89.99,100,TechSupply,In Stock,2024-01-17
P007,Home,80,6.75,16.99,20,HomePlus,In Stock,2024-01-14
P008,Clothing,10,20.00,49.99,25,FashionCorp,Critical,2024-01-16
P009,Electronics,180,28.25,54.99,60,TechSupply,In Stock,2024-01-15
P010,Home,45,10.50,24.99,30,HomePlus,Low Stock,2024-01-17